,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_glcm_ClusterShade,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Contrast
Patient 1,1.0149414258721936,1.0074374111081335,0.9974368965943667,0.9900733139451944,1.0,0.9994449070122994,1.0,1.0,0.9748118234809576,1.00486642157079,0.9946909409535497,0.9883839770259764,1.0139228441764605,0.9751813670199223,0.9408289630739164,0.9462507049202944,0.8827970871320275,0.9877779587209808,0.9705343905098001,1.028921314712866,0.9698212484817407,0.9712311919579957,0.9473908603385467,0.9291372475289602,0.9758646172413471,0.9685321972128983,0.9514538951828918,1.0415393489308011,0.8827970868605426,1.0702835306255918,0.9034723642941496,0.869886332187341,1.008190897566517,0.9300750768509316,0.9745587952226843,0.8758821971557685,1.0398914746223462,1.0567259249519039,1.0007936989752482,1.002323787975077,1.044418986815002,1.0063567925267083,1.0456447109144995,0.9388846883154225,1.1597893614872343,0.983310785410813,1.0067266806375095,1.2127819091750731,0.9388846880831138,0.9895069482904782,1.030487707482926,1.0646494408207507,0.9425356391971398,1.0193372010869082,0.9119591874640672,0.9947399370420232,0.9535531341884651,0.9851557350506581,0.9925670989287952,1.06167724978415,0.9939194254712765,0.8956921356793739,1.002785758061177,0.9920565725798155,1.2528695716107814,0.8856537560376013,0.9915471375023687,0.9963228388148075,1.0035289756072183,0.9159361670639344,1.002336574131058,0.910881817471788,0.9340640077116671,1.0674883127284405,1.043720550916161,1.0970153213710978,0.9663407969802659,0.9311796631722002,1.1271635836308689,1.0356603558975686,0.9499920622708583
Patient 10,0.9706722832076619,0.9790834785057496,0.992465381159643,1.0136677839156605,1.0,1.0192120012437071,1.0,1.017655840341759,1.0215706341842135,0.9839392218206411,1.0064737305927467,1.0078049554011224,0.9865249847023584,1.0214028397345938,1.1889912803520173,1.0267275657552288,1.2129534382657743,0.9864398868116461,0.928440666007976,1.0326944757763208,1.0384298013455635,0.9326545563585034,1.108528264782816,1.1581838572690932,0.964474369062397,0.9233132900175934,1.0897416116106708,-1.0621547014142925,1.2129534388550642,1.047599636996207,-0.6539293505909164,1.108981889608184,0.9515742308034201,1.0373593896689648,1.014875176830608,1.148497550992872,1.0017667640197876,1.011204768740431,0.9981191417325623,0.9961604245416636,0.9118872277268572,0.9802301137629121,1.0010279742207338,0.9806877309860579,1.020306365752708,0.9962212571626681,0.9617132274889445,0.9313219381372442,0.9806877309860579,0.9856563574043407,1.0691931385459303,1.0493392964684807,0.8884844101428788,1.0098381253612168,0.9639391355552703,0.9885489739104037,1.0161282796875646,0.9969743773161597,0.997606716139195,1.079220775514627,0.9986533321652104,1.1273972922126445,1.077590511987094,0.8651909371706451,1.2436595837088569,1.1463461809395172,1.0957022628287407,1.0489678645372245,0.9729467833034943,1.0242976334235452,0.9988691234759027,0.9916347517265741,0.9708556816235455,1.293514092429136,1.0700212201873704,1.105459779736899,1.0711392405091293,1.0446796525950466,0.9722741909853307,0.8372933981256834,0.9926711648586659
Patient 11,1.0218631993367235,1.0308341514559651,1.0216583050813073,0.9910986194593897,0.9910073112100737,0.9581820277469323,1.0757347442353702,1.0,1.0071249235749489,1.0127672059476147,0.9974424283112946,1.0073206210824546,1.0001943119630858,1.0068276862676815,1.1234864270579208,1.203107429152232,1.3353114077407287,1.0553244507629138,0.9913198822835305,1.2729485100725435,1.165012745333359,1.291526668855485,1.1301591490744114,1.0746972771889358,1.1293265095355285,1.0985481797254961,1.1516319496484257,1.724540295673089,1.3353114073437888,0.9661398122311673,4.728237823302474,1.4986154599911532,1.1025215275658786,1.1492031315728426,1.070820256717637,1.7107266489516124,0.9708580131481855,0.9656371787105198,0.9990159345726457,1.0000185507975516,1.1457788712051122,1.068751539233318,0.9664330742228476,1.0412691900127582,1.0493969837272115,1.036227993749598,1.0947237233454366,1.160311385636175,1.0412691900292188,1.042077624323468,0.9448586213810276,0.9321430007890595,1.9673031031317807,0.9880892926611253,1.119701892829025,1.0464536091649919,1.0283463227271097,1.0154045924980517,1.0063957468000246,0.9994734029902723,1.0067401279914827,1.0082080643878457,0.782994379735886,1.7740853950674054,0.9269255927136951,1.6399859351193113,1.2736456242462002,1.1353105533873433,0.9969148775464783,1.2788993482217073,1.0114977163967782,0.9859964312974788,0.9793100144143781,1.0775970275438953,0.9727363106055416,0.9780438487455427,0.9575205349644841,1.242059001560209,0.9440815276866531,0.9571661329020309,1.7305238012940631
Patient 12,1.017208833135637,1.0280005359599678,1.0285456272269005,1.0005302429710092,1.0,1.0,1.0431851676660966,1.0,1.054738462379705,1.017748200918135,1.00988927800731,1.0260206330046615,0.9727725601538193,1.054525961385362,1.0316540188772967,1.1084696622658958,1.2956425316956577,1.0585624877172581,1.2384932509095847,0.9045817546034561,1.1341524536336518,1.1628101182012596,1.1029959895050159,1.1188539151678107,1.0994087649868598,1.2057791701745106,1.1084445182439213,0.8563737234514054,1.295642531814974,0.7897729815203862,1.4157324819926227,1.1102817663804379,1.0527332813722083,1.0854344870834565,1.0283633288009084,1.0323237087126211,0.9420508942467717,0.9133935775887022,1.0002843015857261,0.9990711860372123,1.085884305704344,1.033866268459626,0.9230230798368396,0.9649796803277545,0.6479263258961512,1.0556322036043917,1.0524855480128708,0.6403641830252195,0.9649796807057748,1.054936946521179,0.8687976101584124,0.8099804339269734,1.2870164387957703,0.9508276074919926,0.9481953181509322,1.0358660309948642,1.1016738938595705,1.026849597692066,1.017133308931018,0.8430764338709692,1.0113999122908477,1.0703854177320664,0.9285358297171608,1.2023524107385533,0.3485881532500672,1.0340919411656297,0.8970520348311313,0.9426386341337887,1.0403898521740693,1.093161283174546,1.022228173149353,1.203652800998313,1.1414159954942449,0.8046704908221451,0.8328361016568692,0.8268227293410988,0.7891374642536112,1.0525531108232566,1.0200463836188354,1.0469475430193167,1.212262638129341
Patient 13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9598554869151547,0.9730702015232855,0.9551957118415472,0.9995911758361797,0.9495757783473546,1.160555137120282,1.0466737790548482,0.9775261703818156,0.9749258322211284,0.9734765389656527,1.059910546509191,0.9529481808814262,0.9773411441460194,1.1288480639246008,0.9551957117038479,1.0146570974255356,1.0592058876706651,1.016939596566372,0.9890423194175543,1.0074939196683916,1.0026248457114941,1.0179007057649545,0.9964453655731164,0.9956998991054823,1.0006595376746714,1.0022217063924201,0.992370100160074,0.9967520042598844,1.0015848327171735,0.9716895497512166,0.9973642876745124,1.0009024215980584,1.0130976394207853,0.9637307525891307,0.971689550050847,1.0013719022595997,1.0158644016295133,1.0146931558975993,0.9985868950523201,0.9976090417704144,0.9432431407907667,0.9988746530350564,1.0041800227760405,1.0030167392820397,1.0011909904581042,0.9973332179228833,1.0012266177414764,1.0152383504842297,1.0073894381052961,1.0292028720983775,0.9630772043635356,1.0339088207132843,1.0259155757332388,1.0125779499228706,0.9983355971631828,1.0077913282237287,0.9957759897016553,0.9987034390448865,0.9987034378247092,0.944858393476885,1.0146570862687212,0.9734262163097238,0.8959807681709598,1.0141291907928343,0.9547383724280807,0.985492239952645,0.9199561952433561
Patient 14,0.9653782349603134,0.9758743626935391,0.9961382797087198,1.0207648833043053,1.0270725624067056,1.0353238260684061,1.0,1.0252623033555799,0.9952244378203151,0.9854242008396277,0.9849553573836866,1.0120395253153338,1.0168957723381726,0.9954263311144574,0.8977127240224797,0.8323028412146857,0.7287396542422929,0.9480684990531116,0.8335875770210571,1.1947783879360379,0.875012085026628,0.8402071113330102,0.8559641378392095,0.8663503274870311,0.842915786543495,0.8311327467612197,0.855621400887389,1.3303620307625956,0.7287396542240623,1.2304200152628675,0.7831268608244604,0.7004756035086205,1.0206140774318269,0.8278083257576809,0.9389945194543492,0.7239379841335192,1.127517424023596,1.1911200327558578,1.0008101824796432,1.002962293227944,0.9898230891878307,0.9845164427571336,1.1698556671118188,0.7890493676906477,1.491759213023891,0.9475304784752079,1.0090948453056845,1.649022259738705,0.789049367894075,0.9584183322120908,1.196687827159658,1.2196278743260094,0.7322338608709328,1.0453699643754786,0.6573300957096542,0.9629521869645871,0.9563828322430545,0.9744109549072025,0.9856738509741342,1.30347885818153,0.9894942189028639,1.000306853334064,1.1759144558699786,0.7569824402246071,1.2800723481273557,0.8585800913858048,1.0093070317865416,1.0055766430984385,0.9726415340633893,0.8545714712783443,0.9876891458793109,0.8365151495007195,0.8403586711315699,1.4676159829900959,1.2247925145870935,1.3478022996239483,0.7258066526882296,0.8809975921354527,1.4102662573401283,0.9599341389259839,0.790579193954204
Patient 15,0.975122287975911,0.9802979230767864,1.0005047274857959,1.020612922333559,1.0,1.0186165214005949,1.0,1.0184304122081997,1.014558522120008,0.9952224082987216,0.9954944203775027,1.0142520760561742,0.9996979519188508,1.014507391295979,0.8378654426499224,0.847021385553156,0.7643221222914871,0.9622617154609416,0.8633488360856469,1.0495923309084223,0.9170740438823451,0.859651114738948,0.8683412607952331,0.8882853801792929,0.9123258255704192,0.8568228044033417,0.8679817768002566,0.8481106519870402,0.7643221225990452,1.1412936320527072,0.5444771033362762,0.6753028713862976,1.0329150745127642,0.8222361307376702,0.9299751526867418,0.6782603463975072,1.1187892783710687,1.1795125832484374,1.0018768843425188,1.0067204832433638,1.1039618860693838,1.0166176206888078,1.1661795676778104,0.859071965706496,1.3316707272245025,0.9544774880884994,1.0336144792733901,1.1708944994307116,0.8590719656746727,0.9692063896130629,1.1369920114629644,1.1413159622079663,0.7510651877120303,1.0544263573879824,0.7771639772437525,0.9781679498664451,0.9643869071328096,0.9680268881449543,0.9819903869758474,1.2768557159721008,0.9867715380204171,0.888512851327938,1.1107798092183143,0.7909577123716183,1.9831936948238553,0.7162378085009322,0.8954091014627331,0.9424829950767638,1.0015971385178868,0.7884615549427593,1.0021637502998237,0.8793917750143012,0.8668165313503284,1.336417522007085,1.157850825589796,1.3257377377085309,0.9784847300617247,0.8082341344079568,1.215838855199165,1.0409423530617627,0.7966660763849875
Patient 17,1.0001185476914807,1.0109152471538898,1.0091140027960022,0.9982182058543305,1.0,1.0,1.0,1.0,1.0049966913447408,0.9983365422729807,0.9996130009141042,1.0037167974663257,0.9987264689905979,1.004965419565006,1.2958987946883433,1.1640550191285957,1.472419352866077,1.0348046325547762,1.1090304176652508,0.9540856859975989,1.058711269926654,1.0890564313573814,1.2270304683692284,1.2644188662405988,1.0985148439431445,1.090317554339092,1.2104314508440446,0.7939429730779362,1.4724193524066234,0.8808832852862756,0.9587496532596446,1.1879477960339744,1.0091995203055606,1.0877211742140134,1.0303265104836685,1.193224160213519,0.9438746904723877,0.9150511690304277,1.0003073838980983,1.0009368189493986,1.0593949159170197,1.028234442115396,0.9320472401601316,1.4287512105540168,0.7628806642139857,1.0357475684306854,1.0092764794299975,0.6669402026115127,1.4287512105540168,1.034050440566477,0.9001658769828919,0.8862088237837412,1.1858118733555305,0.9671183422624756,1.8115030709327768,1.0235028907471997,1.0344332572080612,1.0186279737939958,1.0107321263215003,0.8359734759405987,1.0076478326157619,0.9892381354352123,0.9035163809739261,1.2118907378074755,1.4570383147938755,1.0956347293065778,1.0006932563421536,1.0012287971461271,1.0213948994169546,1.0894660393142326,1.0045689111253526,1.1077364918393302,1.1022632872669533,0.7069656633842316,0.885257230286232,0.8042447048006085,1.7424071002281172,1.0730676201713885,0.5647045444656132,1.0645235843655778,0.9849236478219043
Patient 18,1.0663662014254593,1.0443575674863443,1.0183649177550747,0.9751113511250135,1.0157904501497654,1.0212225234617511,1.05226728365533,1.0,1.1157039145746315,1.0398257882757371,1.1582451621319168,0.9287499647640203,0.8324340824589945,1.1116279065624295,0.9420734902802109,0.9712695398403307,1.027985624792414,0.9932673515869517,0.9432397443733653,1.175836085665584,0.9895780721351599,0.9924002876305213,0.9542689278777118,0.9373840833364397,0.9785475056354085,0.9632041384872007,0.9616428353498686,1.2267117045074378,1.027985624570213,1.0497023584462304,1.2238374958687104,1.0412785422533106,0.9744725572689071,1.040375634406364,1.013125882551947,0.9977560991175646,0.9620938979920758,0.940055548920793,0.9995656026056671,0.9971558048178908,0.8908312092803441,0.9718243492203383,0.9341732919923454,0.9401355158416107,1.0152030937262722,0.9977559607590739,1.003768673647251,0.9718488093290891,0.9401355158416107,0.9831761789791508,1.1646736643740485,1.0458222082582498,1.0257104381265139,0.994676447224019,0.914818109140034,0.9933449126089366,1.1168311797748287,1.0028189934454361,1.0018053791680719,0.970599063555973,1.0011607058774055,1.137051319887952,1.022918190913685,1.0432501483462273,0.8511221295226659,1.0801020030708455,0.9716852407301121,0.9849726984137668,1.0054419875524117,0.9999533159134946,0.992379764283119,1.1479183971357412,1.0326462601506674,0.9884694396666615,1.1668784282850237,0.9748330932541674,0.8591031191883578,0.9984874783365407,1.2081569062052477,0.819657193699482,1.019023671020219
Patient 19,0.9843514527497548,0.994746232209371,0.9975391315725639,1.0028076519634062,1.0,0.9872101923339843,1.0,0.9973383716586874,0.9860232989573456,0.9871151684233586,0.9987733229375128,0.9918770713495078,1.0059367493944444,0.9851404567045939,1.149512972256763,1.0995941440444914,1.1996535072414947,1.0264997738920136,1.068463078840221,1.0071599917482845,1.017305295380438,1.08415523149499,1.1053468593767668,1.1020933476254569,1.0268027074498738,1.0666816349112136,1.103516514322285,0.8969557403446777,1.1996535080329478,0.9493780820871293,1.169023651574812,0.9782955813134402,1.082743946920974,0.973359425164126,0.9943615008009496,1.0170221108664863,1.0359213655907469,1.0586583305841957,1.000622852964187,1.003300161260161,1.2457066394129206,1.0784846228265186,1.038115313998181,1.1109301465196975,1.020926611100995,1.0101572149594453,1.1087171587255358,1.1867890881239964,1.1109301461732368,1.0249083370635967,0.9189995074170312,0.942975458065198,1.1863782562462724,1.0361685658464654,1.257623745396883,1.0312098141620756,0.9584545493649435,0.9833172864877254,0.9891571716585822,1.1598802963003925,0.9928524404694143,0.8994628173276094,0.9525434860861799,1.1010974951854184,1.7715349957668518,0.9197324903191584,0.9740093470621766,0.9868522211551001,1.0181459826388508,0.9585179509538257,1.0309989839378515,0.9116982371714872,0.9254500050659172,1.2786746328268581,0.9352707566639035,1.1825183244734254,1.4008523707769542,0.9483719290522524,0.735317062004831,1.1397227909322891,0.9795570929083578
