,original_glcm_InverseVariance,original_glrlm_GrayLevelNonUniformityNormalized,original_shape_Elongation,original_shape_SurfaceVolumeRatio,original_glcm_Correlation,original_glrlm_RunLengthNonUniformity,original_glrlm_ShortRunEmphasis,original_shape_MajorAxisLength,original_shape_Maximum3DDiameter,original_gldm_GrayLevelNonUniformity,original_glcm_Idmn,original_shape_LeastAxisLength,original_glszm_ZoneEntropy,original_glrlm_GrayLevelNonUniformity,original_shape_MeshVolume,original_glrlm_RunPercentage,original_firstorder_Uniformity,original_glcm_JointEntropy,original_glcm_Imc1,original_shape_Maximum2DDiameterSlice,original_glcm_JointEnergy,original_shape_MinorAxisLength,original_glszm_GrayLevelNonUniformityNormalized,original_glcm_Idn,original_shape_SurfaceArea,original_glcm_MaximumProbability,original_shape_Sphericity,original_glrlm_LongRunEmphasis,original_glcm_Id,original_glrlm_RunEntropy,original_glrlm_RunVariance,original_shape_Flatness,original_glcm_Idm,original_glcm_SumEntropy,original_shape_VoxelVolume,original_glcm_MCC,original_firstorder_Kurtosis,original_gldm_DependenceNonUniformity,original_shape_Maximum2DDiameterColumn,original_ngtdm_Coarseness,original_glszm_LargeAreaHighGrayLevelEmphasis,original_firstorder_Entropy,original_shape_Maximum2DDiameterRow,original_ngtdm_Busyness,original_glszm_GrayLevelNonUniformity,original_gldm_LargeDependenceEmphasis,original_glcm_Imc2,original_gldm_DependenceEntropy,original_glrlm_RunLengthNonUniformityNormalized
Patient 1,0.245557,0.035091734,0.826692454,0.204217401,0.84309265,9710.454529,0.93169701,59.81115228,76.08800891,461.9821457,0.986709982,32.4339422,7.222700324,406.7899366,55058.23019,0.907650142,0.036177145,9.318960315,-0.172129635,67.5418189,0.002866175,49.44542827,0.029784458,0.9264046,11243.84869,0.010236516,0.622468382,1.341566017,0.333024203,5.587640019,0.124949265,0.542272485,0.24818532,6.010659463,55303.63919,0.855576159,2.706271147,2048.852467,70.014145,0.001077867,39576.10583,5.100885735,69.1550432,1.270283009,122.1460619,16.27439311,0.900046489,7.777443233,0.836899125
Patient 10,0.186301102,0.025673474,0.588326406,0.298493539,0.769710681,4120.49924,0.953566548,52.65361472,56.95678098,126.7943134,0.983761841,24.88229014,7.129792826,119.3468466,21315.0345,0.93751842,0.025568525,9.858178329,-0.160949359,36.62969424,0.001328632,30.9775119,0.027296276,0.914729027,6362.40008,0.003762021,0.584324159,1.218200706,0.277267906,5.707157486,0.078429218,0.472565659,0.187391042,6.262664219,21476.17437,0.778319922,2.126584792,1079.010486,52.08353771,0.002735752,8516.748634,5.373376529,56.58236916,0.35897187,59.94262295,9.310143174,0.895097861,7.662184301,0.885552459
Patient 11,0.348651589,0.080861784,0.770438822,0.256103577,0.683478793,7375.192835,0.892998982,59.33783353,75.01542641,989.2010041,0.991007801,36.15008709,6.777329768,785.2426008,48909.47169,0.85500952,0.087131243,7.337654237,-0.122218891,57.88221575,0.012679636,45.71617054,0.047709961,0.940023826,12525.89064,0.037546084,0.516342045,1.608047981,0.438088569,4.706842668,0.232506783,0.609224923,0.365810137,4.766114937,49166.97069,0.700290992,6.566672027,1242.546199,61.44473045,0.000832388,110342.3982,3.964079322,71.79405268,2.31629569,101.717636,31.74235885,0.762847841,7.097459725,0.758020076
Patient 12,0.329048296,0.060298323,0.681929155,0.217781145,0.755894405,4355.168091,0.901205168,47.07224968,53.1189966,412.4882644,0.990372763,28.04098758,6.678706331,338.9036326,27903.18337,0.867653347,0.063694914,7.808049723,-0.156604159,39.18785781,0.007976765,32.09993943,0.045389061,0.936560325,6076.787213,0.026179842,0.732114931,1.529758819,0.415004342,4.964932393,0.196238416,0.595701029,0.338046636,5.118742035,28045.91757,0.78394408,5.044263329,759.84126,51.80221038,0.001741902,63128.09485,4.295843776,52.49004953,1.33341417,60.7759522,27.10531192,0.843614593,7.298949922,0.773750767
Patient 13,0.269748216,0.04991119,0.877565837,0.198648125,0.719520887,7189.073919,0.92529153,47.88999279,60.68330413,497.3324397,0.990580204,31.13904135,7.106785025,435.3078094,41832.3093,0.899225851,0.051281959,8.469358269,-0.130039806,49.49405823,0.004501647,42.0266216,0.03899256,0.934731035,8309.909825,0.013346661,0.701286868,1.380912249,0.35852185,5.11180792,0.140446376,0.650220214,0.271671353,5.406536837,41999.58441,0.729632172,4.414031278,1484.154259,55.44396541,0.001136943,34411.62564,4.578976689,60.13352559,1.139196374,99.15808101,17.75067024,0.813477527,7.348853904,0.823252433
Patient 14,0.213370566,0.036986021,0.464867804,0.278094064,0.691965563,2458.316087,0.947313752,46.39168269,53.44312397,116.0553724,0.981372047,19.20003695,6.924362086,104.2011331,13032.48086,0.928451904,0.038251606,9.175399662,-0.148683879,28.51335477,0.003018756,21.56599965,0.029403082,0.912910241,3624.25557,0.011757287,0.738952813,1.257896137,0.298315433,5.407716728,0.09468736,0.413868087,0.211047452,5.790726468,13139.4864,0.710856404,3.012397062,598.555702,46.67609667,0.003580685,6212.691429,5.017292388,45.0835724,0.439451473,36.01877551,11.45220831,0.863905365,7.332234286,0.871642222
Patient 15,0.232868564,0.040627864,0.695079244,0.190621748,0.699668612,8474.776407,0.939232218,55.65007718,64.91412327,442.2963512,0.989439184,34.5016937,7.217629464,403.1672358,46597.75503,0.919059085,0.040960951,9.025415894,-0.125474982,49.3327518,0.002723018,38.68121359,0.035283357,0.929414798,8882.545539,0.006907475,0.705001451,1.289826095,0.320768561,5.287171906,0.103425381,0.619975667,0.229721298,5.698524811,46763.40611,0.711634128,3.347770529,1955.180774,60.85818433,0.001040928,16248.11617,4.850027045,64.58585759,0.878868581,123.9151481,12.65382478,0.818774192,7.417867167,0.853114233
Patient 17,0.237078782,0.043995787,0.954707882,0.246664139,0.676787766,4443.380296,0.939197357,42.0081159,52.28718868,254.259573,0.987949667,22.82213588,6.930699222,229.0288952,24389.50397,0.918543253,0.044866697,8.83177022,-0.120412806,48.92715912,0.003357674,40.10547937,0.037307995,0.926265956,6016.015993,0.010344229,0.67604736,1.290791824,0.324372951,5.174276478,0.103859727,0.543279207,0.235014483,5.55674182,24542.34325,0.686445763,3.606563669,1018.266631,46.16095536,0.001875647,10864.37679,4.73228236,46.13216774,0.70366183,72.97443763,13.31021705,0.80908805,7.26101418,0.852988215
Patient 18,0.214166685,0.039904964,0.484468047,0.332571593,0.675852324,3125.878787,0.949766497,59.3254111,73.85537015,155.1503405,0.986558151,21.01188709,7.003703536,142.1343719,16332.87097,0.932808156,0.040636548,9.043960913,-0.132856792,39.69309386,0.002864219,28.74126603,0.032026089,0.922573587,5431.848911,0.008881646,0.573118988,1.233827759,0.30167929,5.291431223,0.082539504,0.354180219,0.210434728,5.678121896,16534.79205,0.707478753,3.567721208,786.7396543,70.39260259,0.002609315,7787.930809,4.916501938,68.9434123,0.399538697,49.06396867,9.97537978,0.836992249,7.233336016,0.87690288
Patient 19,0.273063874,0.049983938,0.535336419,0.196515908,0.708893842,14178.23722,0.922673818,84.0940985,97.44619336,996.5920753,0.992311594,37.08063859,7.174480399,865.5278988,83418.30737,0.895653281,0.051551421,8.472554004,-0.125113096,62.62255504,0.004734527,45.01863351,0.037966545,0.9410161,16393.02445,0.015478467,0.563204289,1.398570816,0.362941906,5.153190764,0.147901608,0.440942221,0.277008918,5.392477534,83722.001,0.718425023,4.52611694,2861.735051,89.23412632,0.000574979,115754.6518,4.603608848,93.70728093,1.890857268,188.8455971,19.01055245,0.802532625,7.434215899,0.817698485
